Equipment Name;Equipment ID;Path Length;Lieu Path;ID Path
"109 U00";100946;3;"US Open>International TV Compound>Int'l Broadcast Building>USO Now Rm 109";"6676>7119>7120>7124"
"109 U01";100947;3;"US Open>International TV Compound>Int'l Broadcast Building>USO Now Rm 109";"6676>7119>7120>7124"
"110A U00";100959;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA - RH BLDG #110A";"6676>7119>7120>7149"
"110B U00";100960;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA - RH BLDG #110B";"6676>7119>7120>7150"
"110C U00";100961;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA - RH BLDG #110C";"6676>7119>7120>7199"
"110D U00";100962;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA - RH BLDG #110D";"6676>7119>7120>7200"
"110E U00";100963;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA - RH BLDG #110E";"6676>7119>7120>7201"
"110G U00";100964;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA - RH BLDG #110G";"6676>7119>7120>7202"
"111A U00";100966;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA - RH BLDG #111A";"6676>7119>7120>7151"
"111B U00";100965;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA - RH BLDG #111B";"6676>7119>7120>7152"
"111D U00";100942;3;"US Open>International TV Compound>Int'l Broadcast Building>Wowow Rm 111D";"6676>7119>7120>7122"
"111D U01";100943;3;"US Open>International TV Compound>Int'l Broadcast Building>Wowow Rm 111D";"6676>7119>7120>7122"
"112B U00";100957;3;"US Open>International TV Compound>Int'l Broadcast Building>Broadcast Office 1-112 B";"6676>7119>7120>7141"
"207B U00";100958;3;"US Open>International TV Compound>Int'l Broadcast Building>TOC MCR Rm 207B";"6676>7119>7120>7121"
"207B U01";100974;3;"US Open>International TV Compound>Int'l Broadcast Building>TOC MCR Rm 207B";"6676>7119>7120>7121"
"209 U00";100948;3;"US Open>International TV Compound>Int'l Broadcast Building>CenturyLink Rm 209";"6676>7119>7120>7131"
"209 U01";100967;3;"US Open>International TV Compound>Int'l Broadcast Building>CenturyLink Rm 209";"6676>7119>7120>7131"
"210B U00";100949;3;"US Open>International TV Compound>Int'l Broadcast Building>USTA/NEP Comms Rm 210B";"6676>7119>7120>7130"
