Nom;Id_lieu;Categorie;Nom_Type
"US Open";6676;"L";"Site"
"TV COMPOUND";6677;"L";"Zone"
"ZONE JBAVT-1";6678;"L";"Zone"
"Arthur Ashe Zone";6682;"L";"Zone"
"Louis Armstrong Zone";6683;"L";"Zone"
"Arthur Ashe Stadium";6684;"L";"Batiment"
"Ashe Courtside Boxes";6685;"L";"Niveau"
"JBB NW";6687;"R";"Coffret 040cmX020cm"
"JBB SW";6689;"R";"Coffret 040cmX020cm"
"JBB NE";6690;"R";"Coffret 040cmX020cm"
"JBB E";6691;"R";"Coffret 24FO US-OPEN"
"JBB SE";6692;"R";"Coffret 040cmX020cm"
"JBB W";6696;"R";"Coffret 040cmX020cm"
"Double Stack Rack 1";6699;"R";"Baie 42U"
"CER";6700;"R";"Baie 42U"
"Stump Cabinet C";6703;"R";"Baie 42U"
"Box 10 - Ashe Courtside";6704;"G";"Rack 4U FO"
"Box 05A - Armstrong";6706;"G";"Rack 4U FO"
"JBAVT-1";6707;"L";"Batiment"
"JBAVT-1 Stump";6708;"L";"Local technique"
"Ashe Level 2";6709;"L";"Niveau"
"Ashe Level 3";6710;"L";"Niveau"
"Ashe Level 6";6713;"L";"Niveau"
"Ashe Level 7 BCast Admin UpLvL";6714;"L";"Niveau"
"Ashe Catwalk";6715;"L";"Niveau"
"Ashe Level 1";6716;"L";"Niveau"
"Cabinet 6310";6717;"R";"Repartiteur"
"S-LOT Carpark Zone";6719;"L";"Zone"
"Campus Positions";6720;"L";"Zone"
"ITC Chase Center";6721;"L";"Zone"
"Stadium 17 Zone";6722;"L";"Zone"
"Grandstand Stadium Zone";6723;"L";"Zone"
"Outer Courts";6724;"L";"Zone"
"Fountain Plaza";6725;"R";"Coffret 24FO US-OPEN"
"Heineken";6726;"R";"Coffret 24FO US-OPEN"
"Hoist";6727;"R";"Coffret 24FO US-OPEN"
"Octagon";6728;"R";"Coffret 24FO US-OPEN"
"Statue Main Entrance South";6729;"R";"Coffret 24FO US-OPEN"
"JBB Fountain West ESPN";6731;"G";"Rack 4U FO"
"JBB Fountain East INET";6732;"G";"Rack 4U FO"
"JBB 1.1 NW Courtside";6743;"R";"Repartiteur"
"JBB 1.2 W Courtside";6744;"R";"Repartiteur"
"JBB 1.3 E Courtside";6745;"R";"Repartiteur"
"JBB 1.5 S Courtside";6746;"R";"Repartiteur"
"JBB 1.6 NE Courtside";6747;"R";"Repartiteur"
"Grandstand Stadium Build.";6750;"L";"Batiment"
"BC IT Patch Room 1305";6751;"L";"Local technique"
"Broadcast Booth 3204";6753;"L";"Pièce"
"JBB BB 2";6754;"R";"Repartiteur"
"JBB BB 1";6755;"R";"Repartiteur"
"JBB 1.4 SW Courtside";6756;"R";"Repartiteur"
"BC 1305.1";6757;"R";"Baie 42U"
"JBB Box 1";6758;"G";"Rack 4U FO"
"JBB Box 2";6759;"G";"Rack 4U FO"
"JBB Box 3";6760;"G";"Rack 4U FO"
"JBB Box 4";6761;"G";"Rack 4U FO"
"PATCHROOM 1108";6762;"L";"Local technique"
"JBB External Warm up";6763;"L";"Local technique"
"JBB Ashe Players Lobby";6764;"L";"Local technique"
"JBB Stringer/Internal Warm up";6765;"L";"Local technique"
"JBB Players Hallway by Warm up";6767;"L";"Local technique"
"JBB Players Hallway at Turn";6768;"L";"Local technique"
